timestamp,system,flight_phase,flight_hours,flight_cycles,egt_margin_c,n1_speed_pct,fuel_flow_kg_h,apu_egt_c,apu_vibration_mm_s,tire_pressure_psi,brake_temp_c,bus_voltage_v,cpu_temp_c,hyd_pressure_psi,hyd_fluid_temp_c,failure,failure_type,maintenance_required
2024-01-01 00:00:00,Engine,cruise,28599.8,10483,17.3,85.7,1217.0,,,,,,,,,no,none,no
2024-01-01 00:10:00,Engine,ground,40271.6,16719,5.4,21.1,246.0,,,,,,,,,no,none,no
2024-01-01 00:20:00,Hydraulics,landing,38008.0,15557,,,,,,,,,,3029.0,56.6,no,none,no
2024-01-01 00:30:00,Engine,cruise,7695.0,3314,16.4,87.8,1202.0,,,,,,,,,no,none,no
2024-01-01 00:40:00,Engine,takeoff,7462.5,2796,54.6,100.0,1422.0,,,,,,,,,no,none,no
2024-01-01 00:50:00,Avionics,takeoff,13408.7,5378,,,,,,,,28.05,55.5,,,no,none,no
2024-01-01 01:00:00,Landing Gear,takeoff,18053.7,6433,,,,,,212.2,23.6,,,,,no,none,no
2024-01-01 01:10:00,Landing Gear,ground,20422.8,8628,,,,,,194.1,134.2,,,,,no,none,no
2024-01-01 01:20:00,Engine,landing,33984.9,14158,23.8,47.1,624.0,,,,,,,,,no,none,no
2024-01-01 01:30:00,Landing Gear,landing,2834.0,1179,,,,,,202.2,486.5,,,,,no,none,no
2024-01-01 01:40:00,Engine,takeoff,1733.6,694,41.7,90.7,1281.0,,,,,,,,,no,none,no
2024-01-01 01:50:00,Engine,ground,19595.5,8098,27.3,18.4,235.0,,,,,,,,,no,none,no
2024-01-01 02:00:00,Hydraulics,ground,34858.2,15733,,,,,,,,,,2939.0,64.2,no,none,no
2024-01-01 02:10:00,Engine,cruise,9671.8,3780,39.7,82.0,1117.0,,,,,,,,,no,none,no
2024-01-01 02:20:00,Landing Gear,takeoff,32075.2,12972,,,,,,205.5,25.1,,,,,no,none,no
2024-01-01 02:30:00,Landing Gear,takeoff,12991.4,4745,,,,,,215.0,23.7,,,,,no,none,no
2024-01-01 02:40:00,Engine,cruise,44304.3,16491,-9.5,82.6,1068.0,,,,,,,,,no,none,no
2024-01-01 02:50:00,Hydraulics,cruise,44784.5,18054,,,,,,,,,,2932.0,60.3,no,none,no
2024-01-01 03:00:00,Engine,cruise,14864.4,6471,37.7,89.1,1297.0,,,,,,,,,no,none,no
2024-01-01 03:10:00,Avionics,cruise,11499.7,4506,,,,,,,,29.07,55.8,,,no,none,no
2024-01-01 03:20:00,Hydraulics,landing,20565.2,8071,,,,,,,,,,3080.0,34.9,no,none,no
2024-01-01 03:30:00,Landing Gear,takeoff,12026.6,4654,,,,,,191.4,38.8,,,,,no,none,no
2024-01-01 03:40:00,Hydraulics,cruise,33619.2,12872,,,,,,,,,,3031.0,95.0,no,none,no
2024-01-01 03:50:00,Engine,cruise,41303.2,16911,8.7,75.2,1104.0,,,,,,,,,no,none,no
2024-01-01 04:00:00,Landing Gear,cruise,33654.6,11849,,,,,,204.1,13.9,,,,,no,none,no
2024-01-01 04:10:00,Engine,landing,41217.5,18177,7.8,55.7,777.0,,,,,,,,,no,none,no
2024-01-01 04:20:00,Avionics,takeoff,19849.6,7517,,,,,,,,28.56,45.4,,,no,none,no
2024-01-01 04:30:00,Hydraulics,cruise,7815.8,3307,,,,,,,,,,3020.0,84.8,no,none,no
2024-01-01 04:40:00,Engine,cruise,36897.5,13260,20.6,88.2,1287.0,,,,,,,,,no,none,no
2024-01-01 04:50:00,Avionics,takeoff,18023.7,7595,,,,,,,,26.86,56.6,,,no,none,no
2024-01-01 05:00:00,Engine,landing,33563.5,14147,13.9,55.2,724.0,,,,,,,,,no,none,no
2024-01-01 05:10:00,Landing Gear,takeoff,13532.2,5579,,,,,,193.2,29.9,,,,,no,none,no
2024-01-01 05:20:00,Landing Gear,takeoff,4061.5,1495,,,,,,198.4,10.4,,,,,no,none,no
2024-01-01 05:30:00,Hydraulics,ground,49629.1,20248,,,,,,,,,,3075.0,57.4,no,none,no
2024-01-01 05:40:00,APU,ground,7810.1,2828,,,,650.7,2.63,,,,,,,no,none,no
2024-01-01 05:50:00,APU,ground,49421.0,19369,,,,659.5,4.09,,,,,,,no,none,no
2024-01-01 06:00:00,Engine,cruise,48864.0,21155,7.5,91.1,1284.0,,,,,,,,,no,none,no
2024-01-01 06:10:00,Engine,takeoff,39690.9,16888,26.4,93.3,1354.0,,,,,,,,,no,none,no
2024-01-01 06:20:00,Engine,landing,32971.1,13204,26.9,53.9,730.0,,,,,,,,,no,none,no
2024-01-01 06:30:00,Engine,cruise,28890.4,10655,33.7,85.3,1271.0,,,,,,,,,no,none,no
